iter	Passed	Remaining
0	88	8774
1	109	5364
2	132	4296
3	152	3666
4	170	3240
5	192	3008
6	211	2805
7	231	2662
8	252	2553
9	270	2431
10	295	2389
11	315	2315
12	334	2238
13	347	2133
14	371	2104
15	390	2050
16	414	2025
17	432	1970
18	450	1919
19	471	1885
20	489	1841
21	509	1805
22	533	1787
23	554	1756
24	577	1733
25	595	1696
26	613	1659
27	638	1642
28	662	1622
29	685	1599
30	709	1579
31	730	1552
32	746	1514
33	765	1486
34	787	1462
35	805	1431
36	826	1407
37	844	1378
38	861	1347
39	877	1316
40	892	1284
41	908	1254
42	929	1232
43	947	1206
44	968	1183
45	986	1158
46	1007	1136
47	1023	1108
48	1040	1083
49	1060	1060
50	1080	1037
51	1097	1013
52	1117	991
53	1135	967
54	1152	943
55	1172	921
56	1190	897
57	1207	874
58	1225	851
59	1245	830
60	1263	807
61	1285	787
62	1304	765
63	1321	743
64	1347	725
65	1370	706
66	1393	686
67	1412	664
68	1430	642
69	1446	619
70	1457	595
71	1481	575
72	1498	554
73	1514	532
74	1535	511
75	1555	491
76	1572	469
77	1591	448
78	1609	427
79	1627	406
80	1648	386
81	1663	365
82	1682	344
83	1704	324
84	1725	304
85	1743	283
86	1761	263
87	1781	242
88	1797	222
89	1817	201
90	1832	181
91	1849	160
92	1861	140
93	1873	119
94	1886	99
95	1893	78
96	1901	58
97	1920	39
98	1934	19
99	1943	0
